date,sex,age,ethnicity,population
2016-01-01,male,50-54,chinese,228.1
2016-01-01,male,50-54,indian,60.2
2016-01-01,male,50-54,other_citizen,4.6
2016-01-01,male,50-54,other_noncitizen,53.2
2016-01-01,male,55-59,overall,685.0
2016-01-01,male,55-59,bumi_malay,319.3
2016-01-01,male,55-59,bumi_other,71.6
2016-01-01,male,55-59,chinese,206.2
2016-01-01,male,55-59,indian,51.5
2016-01-01,male,55-59,other_citizen,4.4
2016-01-01,male,55-59,other_noncitizen,32.1
2016-01-01,male,60-64,overall,523.2
2016-01-01,male,60-64,bumi_malay,242.7
2016-01-01,male,60-64,bumi_other,51.1
2016-01-01,male,60-64,chinese,168.1
2016-01-01,male,60-64,indian,38.1
2016-01-01,male,60-64,other_citizen,3.4
2016-01-01,male,60-64,other_noncitizen,19.7
2016-01-01,male,65-69,overall,388.0
2016-01-01,male,65-69,bumi_malay,177.5
2016-01-01,male,65-69,bumi_other,32.4
2016-01-01,male,65-69,chinese,137.7
2016-01-01,male,65-69,indian,27.1
2016-01-01,male,65-69,other_citizen,2.0
2016-01-01,male,65-69,other_noncitizen,11.5
2016-01-01,male,70-74,overall,238.3
2016-01-01,male,70-74,bumi_malay,100.2
2016-01-01,male,70-74,bumi_other,24.0
2016-01-01,male,70-74,chinese,91.8
2016-01-01,male,70-74,indian,14.4
2016-01-01,male,70-74,other_citizen,1.3
2016-01-01,male,70-74,other_noncitizen,6.6
2016-01-01,male,75-79,overall,156.3
2016-01-01,male,75-79,bumi_malay,65.1
2016-01-01,male,75-79,bumi_other,14.5
2016-01-01,male,75-79,chinese,63.0
2016-01-01,male,75-79,indian,8.9
2016-01-01,male,75-79,other_citizen,0.7
2016-01-01,male,75-79,other_noncitizen,4.1
2016-01-01,male,80-84,overall,77.7
2016-01-01,male,80-84,bumi_malay,31.2
2016-01-01,male,80-84,bumi_other,8.3
2016-01-01,male,80-84,chinese,29.9
2016-01-01,male,80-84,indian,4.9
2016-01-01,male,80-84,other_citizen,0.4
2016-01-01,male,80-84,other_noncitizen,3.1
2016-01-01,male,85+,overall,65.3
2016-01-01,male,85+,bumi_malay,28.0
2016-01-01,male,85+,bumi_other,8.0
2016-01-01,male,85+,chinese,20.5
2016-01-01,male,85+,indian,4.0
2016-01-01,male,85+,other_citizen,0.4
2016-01-01,male,85+,other_noncitizen,4.4
2017-01-01,both,overall,overall,32022.6
2017-01-01,both,overall,bumi_malay,16045.1
2017-01-01,both,overall,bumi_other,3735.9
2017-01-01,both,overall,chinese,6665.3
2017-01-01,both,overall,indian,2001.1
2017-01-01,both,overall,other_citizen,287.7
2017-01-01,both,overall,other_noncitizen,3287.5
2017-01-01,both,0-4,overall,2613.7
2017-01-01,both,0-4,bumi_malay,1623.4
2017-01-01,both,0-4,bumi_other,330.6
2017-01-01,both,0-4,chinese,355.4
2017-01-01,both,0-4,indian,116.6
2017-01-01,both,0-4,other_citizen,42.1
2017-01-01,both,0-4,other_noncitizen,145.6
2017-01-01,both,5-9,overall,2533.7
2017-01-01,both,5-9,bumi_malay,1488.8
